date,ticker,momentum,trend,mean_reversion,breakout,volume,rel_strength,news,score,ml_prob,price_eur
2026-09-25,GS,-0.3811,-0.0335,0.0,0.0,0.0,-0.6626,0.258,-0.068,0.509,821.138
2026-09-25,HD,-0.7752,-0.8256,0.0,0.0,0.0,-0.6815,0.308,-0.608,0.518,257.371
2026-09-25,HON,-0.271,-0.7352,0.0,0.0,0.0,-0.2978,0.747,-0.524,0.518,186.5764
2026-09-25,IBM,-0.7123,-0.8076,0.0,-0.0,0.0,-0.4361,0.117,-0.596,0.45,197.9527
2026-09-25,INTC,-0.0628,0.9968,0.0,0.0,0.0,0.9903,0.248,0.629,0.498,107.9694
2026-09-25,INTU,0.1271,-0.9664,0.0211,-0.1995,0.0,-0.9332,-0.105,-0.612,0.481,242.0885
2026-09-25,ISRG,0.0364,-0.187,0.0,0.3234,0.0,0.6685,0.391,-0.136,0.478,355.667
2026-09-25,JNJ,0.5964,0.8396,0.0,0.0,0.0,0.1406,0.491,0.603,0.533,238.0769
2026-09-25,JPM,0.2378,0.1409,0.0,0.0,0.0,-0.2678,0.183,0.133,0.559,301.1381
2026-09-25,KHC,-0.2732,0.0309,0.0,-0.0,0.0,-0.3625,0.362,-0.007,0.523,20.7424
2026-09-25,KO,0.752,0.809,0.0,0.0,0.0,-0.0875,0.364,0.599,0.523,77.0796
2026-09-25,LIN,-0.8467,-0.0485,0.0,0.0,0.0,-0.2466,0.28,-0.133,0.439,412.4695
2026-09-25,LLY,-0.0431,0.7981,0.0,0.0,0.0,0.0276,0.126,0.533,0.518,1038.8412
2026-09-25,LMT,0.0127,-0.7261,0.0,0.0,0.0,-0.5594,0.372,-0.495,0.492,456.0698
2026-09-25,LOW,-0.7496,-0.8882,0.0,0.0,0.0,-0.6032,0.265,-0.637,0.429,166.15
2026-09-25,MA,0.6932,0.1326,0.0,0.0,0.0,-0.3346,0.091,0.177,0.522,498.2832
2026-09-25,MCD,-0.6287,-0.886,0.2507,0.0,0.0,-0.6015,-0.034,-0.645,0.429,207.5997
2026-09-25,MDLZ,0.1448,0.0447,0.0,-0.0,0.0,-0.293,0.327,0.05,0.52,52.8875
2026-09-25,MDT,0.7105,0.0125,0.0,-0.5903,0.0,-0.1398,0.308,0.09,0.484,77.8082
2026-09-25,MET,0.733,0.8893,0.0,0.0,0.0,0.0977,0.336,0.635,0.526,85.7611
2026-09-25,META,0.5568,0.3062,-0.0692,0.0,0.0,0.987,0.18,0.292,0.499,659.8071
2026-09-25,MMM,0.3986,0.1227,0.0,0.0,0.0,-0.4117,0.546,0.137,0.531,148.831
2026-09-25,MO,-0.2156,0.7114,0.0,0.0,0.0,0.2387,0.413,0.47,0.53,60.4102
2026-09-25,MRK,0.9181,0.9321,0.0,0.0,0.0,-0.0161,-0.248,0.666,0.53,130.5991
2026-09-25,MS,-0.4126,0.0433,0.0,0.0,0.0,-0.6126,0.716,-0.014,0.544,172.3209
2026-09-25,MSFT,0.9616,0.9035,0.0,0.8882,0.2375,0.1523,1.0,0.656,0.516,453.094
2026-09-25,NEE,-0.7556,-0.814,0.3445,0.0,0.0,-0.5889,-0.178,-0.627,0.514,66.783
2026-09-25,NFLX,-0.1581,-0.8658,0.0,0.0,0.0,-0.7132,0.019,-0.583,0.513,62.4511
2026-09-25,NKE,-0.7583,-0.947,0.0,0.0,0.0,-0.4648,-0.708,-0.662,0.467,31.3814
2026-09-25,NOW,0.6355,0.8687,0.0,0.0,0.0,-0.1828,-0.054,0.619,0.489,119.0472
2026-09-25,NVDA,0.5549,0.829,0.0,0.0,0.0,-0.1152,0.038,0.595,0.53,197.5665
2026-09-25,ORCL,-0.0966,-0.869,0.0,0.0,0.0,-0.6662,-0.141,-0.58,0.512,120.3464
2026-09-25,PEP,-0.6473,-0.8045,0.0112,0.0,0.0,-0.5218,0.065,-0.59,0.521,112.9114
2026-09-25,PFE,0.9704,0.8078,0.0,0.0,0.0,0.1617,0.071,0.614,0.523,25.1665
